request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Party:token,General_Party:id,General_Party,#_of_Records,Total_$
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=HI&y=2014&c-t-p=3,s,HI,HI,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=HI&y=2016&c-t-p=3,s,HI,HI,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IA&y=2010&c-t-p=3,s,IA,IA,y,2010,2010,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IA&y=2016&c-t-p=3,s,IA,IA,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=ID&y=2012&c-t-p=3,s,ID,ID,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=ID&y=2018&c-t-p=3,s,ID,ID,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2009&c-t-p=3,s,IL,IL,y,2009,2009,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2013&c-t-p=3,s,IL,IL,y,2013,2013,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2018&c-t-p=3,s,IL,IL,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=KS&y=2010&c-t-p=3,s,KS,KS,y,2010,2010,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=KS&y=2014&c-t-p=3,s,KS,KS,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=KS&y=2017&c-t-p=3,s,KS,KS,y,2017,2017,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=KS&y=2018&c-t-p=3,s,KS,KS,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=KY&y=2010&c-t-p=3,s,KY,KY,y,2010,2010,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=KY&y=2016&c-t-p=3,s,KY,KY,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=KY&y=2018&c-t-p=3,s,KY,KY,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=LA&y=2013&c-t-p=3,s,LA,LA,y,2013,2013,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MA&y=2013&c-t-p=3,s,MA,MA,y,2013,2013,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MA&y=2018&c-t-p=3,s,MA,MA,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=ME&y=2010&c-t-p=3,s,ME,ME,y,2010,2010,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2018&c-t-p=3,s,MI,MI,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MN&y=2012&c-t-p=3,s,MN,MN,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MO&y=2012&c-t-p=3,s,MO,MO,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MS&y=2016&c-t-p=3,s,MS,MS,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MT&y=2010&c-t-p=3,s,MT,MT,y,2010,2010,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MT&y=2012&c-t-p=3,s,MT,MT,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MT&y=2014&c-t-p=3,s,MT,MT,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MT&y=2016&c-t-p=3,s,MT,MT,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NC&y=2018&c-t-p=3,s,NC,NC,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=ND&y=2012&c-t-p=3,s,ND,ND,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=ND&y=2018&c-t-p=1,s,ND,ND,y,2018,2018,c-t-p,1,Democratic,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=ND&y=2018&c-t-p=2,s,ND,ND,y,2018,2018,c-t-p,2,Republican,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NE&y=2014&c-t-p=3,s,NE,NE,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NE&y=2016&c-t-p=3,s,NE,NE,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NH&y=2012&c-t-p=3,s,NH,NH,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NH&y=2018&c-t-p=3,s,NH,NH,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NM&y=2012&c-t-p=3,s,NM,NM,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NM&y=2014&c-t-p=3,s,NM,NM,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NM&y=2016&c-t-p=3,s,NM,NM,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NV&y=2010&c-t-p=3,s,NV,NV,y,2010,2010,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NV&y=2011&c-t-p=3,s,NV,NV,y,2011,2011,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NV&y=2014&c-t-p=3,s,NV,NV,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NV&y=2018&c-t-p=3,s,NV,NV,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OK&y=2012&c-t-p=3,s,OK,OK,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OR&y=2012&c-t-p=3,s,OR,OR,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OR&y=2014&c-t-p=3,s,OR,OR,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OR&y=2016&c-t-p=3,s,OR,OR,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=PA&y=2016&c-t-p=3,s,PA,PA,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=RI&y=2012&c-t-p=3,s,RI,RI,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=RI&y=2014&c-t-p=3,s,RI,RI,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=RI&y=2016&c-t-p=3,s,RI,RI,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=SC&y=2012&c-t-p=3,s,SC,SC,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=SC&y=2013&c-t-p=3,s,SC,SC,y,2013,2013,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=SC&y=2014&c-t-p=3,s,SC,SC,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=SC&y=2016&c-t-p=3,s,SC,SC,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=SC&y=2018&c-t-p=3,s,SC,SC,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TN&y=2014&c-t-p=3,s,TN,TN,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=UT&y=2012&c-t-p=3,s,UT,UT,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=UT&y=2016&c-t-p=3,s,UT,UT,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=UT&y=2018&c-t-p=3,s,UT,UT,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VA&y=2016&c-t-p=3,s,VA,VA,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VT&y=2010&c-t-p=3,s,VT,VT,y,2010,2010,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VT&y=2012&c-t-p=2,s,VT,VT,y,2012,2012,c-t-p,2,Republican,0,0.00
